idx,score,length,gc,frac_a,frac_t,frac_c,frac_g,entropy_bits,cpg_density,longest_run,runs_ge_5,mean_unpair_prob
2,0.9977702498435974,100,0.71,0.14,0.15,0.39,0.32,1.8634860459891054,0.13,5,1,nan
3,0.9986340999603271,100,0.68,0.17,0.15,0.24,0.44,1.860413005047401,0.08,5,1,nan
4,0.9604185819625854,100,0.64,0.25,0.11,0.18,0.46,1.8109296642350987,0.03,5,1,nan
9,0.9892769455909729,100,0.59,0.18,0.23,0.28,0.31,1.970990205225935,0.06,4,0,nan
13,0.9840491414070129,100,0.81,0.12,0.07,0.43,0.38,1.6896395455136892,0.14,10,1,nan
14,0.9750196933746338,100,0.64,0.19,0.17,0.42,0.22,1.896033005540601,0.07,4,0,nan
15,0.9938478469848633,100,0.55,0.24,0.21,0.34,0.21,1.9689545060094527,0.05,4,0,nan
20,0.9853794574737549,100,0.68,0.17,0.15,0.37,0.31,1.8996553159182463,0.11,4,0,nan
21,0.9824031591415405,100,0.66,0.18,0.16,0.26,0.4,1.9023841248434796,0.07,4,0,nan
23,0.9870016574859619,100,0.65,0.13,0.22,0.51,0.14,1.75575745682265,0.03,4,0,nan
41,0.9995044469833374,100,0.66,0.22,0.12,0.24,0.42,1.867421415847824,0.12,4,0,nan
46,0.993661105632782,100,0.71,0.1,0.19,0.52,0.19,1.7332222717440582,0.05,5,2,nan
49,0.9996129274368286,100,0.61,0.23,0.16,0.39,0.22,1.9210551184251294,0.06,3,0,nan
51,0.9852769374847412,100,0.72,0.15,0.13,0.25,0.47,1.805144629342934,0.07,6,1,nan
54,0.9673475027084351,100,0.69,0.14,0.17,0.6,0.09,1.5865302101791832,0.06,5,4,nan
55,0.9950535893440247,100,0.79,0.11,0.1,0.4,0.39,1.7410477989246638,0.17,5,1,nan
59,0.9925459027290344,100,0.75,0.11,0.14,0.5,0.25,1.747396880305514,0.14,5,2,nan
60,0.9756757020950317,100,0.67,0.19,0.14,0.15,0.52,1.7534580303577332,0.03,5,1,nan
62,0.9809149503707886,100,0.63,0.19,0.18,0.29,0.34,1.947611607348716,0.07,5,1,nan
63,0.9903964996337891,100,0.88,0.08,0.04,0.25,0.63,1.3972057905260962,0.15,5,2,nan
71,0.9995826482772827,100,0.71,0.12,0.17,0.56,0.15,1.6806396609820922,0.08,4,0,nan
81,0.9966977834701538,100,0.79,0.14,0.07,0.22,0.57,1.60848939196852,0.09,5,3,nan
88,0.997113049030304,100,0.73,0.14,0.13,0.45,0.28,1.8123760658038355,0.11,4,0,nan
98,0.9794982075691223,100,0.67,0.25,0.08,0.4,0.27,1.8303012787919621,0.06,5,2,nan
104,0.9690570831298828,100,0.69,0.16,0.15,0.33,0.36,1.8919995405259247,0.14,4,0,nan
109,0.9913679361343384,100,0.76,0.09,0.15,0.39,0.37,1.7837247396646503,0.12,5,1,nan
110,0.9846982955932617,100,0.66,0.14,0.2,0.23,0.43,1.8727277872941728,0.06,7,2,nan
115,0.9972108602523804,100,0.64,0.23,0.13,0.37,0.27,1.9110624056564218,0.09,4,0,nan
120,0.9975483417510986,100,0.6,0.16,0.24,0.23,0.37,1.9355481944258228,0.05,5,1,nan
121,0.998366117477417,100,0.75,0.15,0.1,0.21,0.54,1.695603880992898,0.06,6,1,nan
128,0.9710358381271362,100,0.62,0.18,0.2,0.28,0.34,1.9530873263363915,0.03,5,1,nan
133,0.9539204239845276,100,0.74,0.08,0.18,0.43,0.31,1.784174988773275,0.15,4,0,nan
134,0.953961193561554,100,0.65,0.21,0.14,0.28,0.37,1.91488271844428,0.08,4,0,nan
136,0.9925621151924133,100,0.54,0.2,0.26,0.23,0.31,1.9811361379675239,0.06,4,0,nan
138,0.992816150188446,100,0.59,0.27,0.14,0.31,0.28,1.945146640706463,0.06,4,0,nan
143,0.9816407561302185,100,0.62,0.23,0.15,0.18,0.44,1.864666938080307,0.06,4,0,nan
149,0.9930258989334106,100,0.72,0.12,0.16,0.43,0.29,1.831552356579288,0.12,7,2,nan
152,0.9586760401725769,100,0.75,0.1,0.15,0.34,0.41,1.799296103026181,0.11,4,0,nan
153,0.9828240275382996,100,0.56,0.23,0.21,0.31,0.25,1.9842853774344595,0.08,3,0,nan
157,0.9870439767837524,100,0.67,0.12,0.21,0.27,0.4,1.8786831673655646,0.07,5,1,nan
158,0.998424232006073,100,0.69,0.15,0.16,0.38,0.31,1.8878092891049532,0.1,4,0,nan
159,0.9892994165420532,100,0.76,0.11,0.13,0.35,0.41,1.7904161705421275,0.09,5,1,nan
161,0.9952213168144226,100,0.71,0.16,0.13,0.35,0.36,1.8663769699664123,0.13,4,0,nan
165,0.9928460121154785,100,0.6,0.17,0.23,0.39,0.21,1.9248747327292375,0.04,4,0,nan
175,0.995403528213501,100,0.72,0.09,0.19,0.47,0.25,1.7798359043584644,0.1,5,2,nan
185,0.9945235252380371,100,0.57,0.25,0.18,0.28,0.29,1.9774317753083022,0.06,5,1,nan
188,0.9685764908790588,100,0.66,0.15,0.19,0.48,0.18,1.8193478722733945,0.05,5,1,nan
191,0.9865205883979797,100,0.75,0.12,0.13,0.33,0.42,1.8031801493744752,0.13,5,1,nan
202,0.9919225573539734,100,0.65,0.15,0.2,0.28,0.37,1.9198798579971337,0.08,4,0,nan
204,0.9991639852523804,100,0.67,0.09,0.24,0.14,0.53,1.689344409465279,0.04,4,0,nan
205,0.9687292575836182,100,0.62,0.16,0.22,0.36,0.26,1.9394939064386028,0.03,3,0,nan
218,0.9935421347618103,100,0.83,0.1,0.07,0.49,0.34,1.6342033461003889,0.19,5,1,nan
219,0.9971497654914856,100,0.81,0.07,0.12,0.55,0.26,1.6152836759889069,0.15,5,1,nan
228,0.9887561798095703,100,0.61,0.25,0.14,0.36,0.25,1.9277254052800652,0.09,5,1,nan
231,0.9761044979095459,100,0.73,0.13,0.14,0.35,0.38,1.8403078262890176,0.13,4,0,nan
238,0.9974396228790283,100,0.59,0.19,0.22,0.26,0.33,1.9689106200152644,0.08,4,0,nan
240,0.996039092540741,100,0.69,0.17,0.14,0.35,0.34,1.890971395718249,0.03,4,0,nan
241,0.997525155544281,100,0.78,0.14,0.08,0.4,0.38,1.7478428076231525,0.12,5,1,nan
244,0.9994665384292603,100,0.76,0.16,0.08,0.42,0.34,1.76934550618253,0.19,4,0,nan
246,0.9957557320594788,100,0.75,0.17,0.08,0.24,0.51,1.7156595821836267,0.1,4,0,nan
251,0.9885757565498352,100,0.66,0.19,0.15,0.18,0.48,1.8193478722733945,0.03,4,0,nan
252,0.9937060475349426,100,0.75,0.13,0.12,0.27,0.48,1.7680019003995526,0.13,5,1,nan
253,0.9922245144844055,100,0.7,0.19,0.11,0.37,0.33,1.8640646794993396,0.08,4,0,nan
257,0.9880198240280151,100,0.67,0.12,0.21,0.22,0.45,1.8388651814560872,0.09,4,0,nan
258,0.9988671541213989,100,0.77,0.1,0.13,0.41,0.36,1.7728368945149997,0.13,3,0,nan
259,0.9983758926391602,100,0.75,0.13,0.12,0.27,0.48,1.7680019003995526,0.09,5,2,nan
266,0.9984937906265259,100,0.61,0.28,0.11,0.3,0.31,1.909391298646006,0.05,4,0,nan
270,0.993191123008728,100,0.54,0.26,0.2,0.26,0.28,1.9891825391877551,0.06,4,0,nan
278,0.9984005689620972,100,0.64,0.21,0.15,0.31,0.33,1.934985026041686,0.11,4,0,nan
288,0.9968701601028442,100,0.62,0.22,0.16,0.24,0.38,1.9281777783928793,0.08,5,1,nan
291,0.9855927228927612,100,0.71,0.09,0.2,0.54,0.17,1.6916693864866132,0.06,5,2,nan
295,0.9996535778045654,100,0.59,0.2,0.21,0.35,0.24,1.9614438559098968,0.05,3,0,nan
300,0.9871805906295776,100,0.61,0.21,0.18,0.2,0.41,1.909901089860682,0.04,4,0,nan
306,0.9988433122634888,100,0.61,0.13,0.26,0.33,0.28,1.92997526213528,0.07,5,1,nan
311,0.9639447331428528,100,0.72,0.2,0.08,0.28,0.44,1.7912612804207124,0.13,4,0,nan
317,0.9862544536590576,100,0.63,0.13,0.24,0.3,0.33,1.9256907881724599,0.11,4,0,nan
321,0.952195942401886,100,0.61,0.16,0.23,0.43,0.18,1.8795565951000934,0.09,5,1,nan
322,0.9908350706100464,100,0.64,0.19,0.17,0.27,0.37,1.9305639083410377,0.09,5,1,nan
325,0.9775702357292175,100,0.63,0.21,0.16,0.41,0.22,1.9037982529975652,0.09,4,0,nan
326,0.9932379126548767,100,0.53,0.24,0.23,0.22,0.31,1.9861701273883976,0.05,5,1,nan
327,0.9996464252471924,100,0.71,0.11,0.18,0.46,0.25,1.8109296642350987,0.11,4,0,nan
328,0.9978501200675964,100,0.68,0.19,0.13,0.15,0.53,1.733861368602328,0.08,5,1,nan
329,0.9866547584533691,100,0.7,0.14,0.16,0.44,0.26,1.8465622617695654,0.09,5,1,nan
341,0.9966300129890442,100,0.71,0.1,0.19,0.3,0.41,1.8358936521557374,0.06,5,1,nan
342,0.9998619556427002,100,0.71,0.2,0.09,0.21,0.5,1.749862566996542,0.05,5,1,nan
353,0.9954107403755188,100,0.59,0.3,0.11,0.19,0.4,1.85537406753284,0.04,4,0,nan
356,0.9909867644309998,100,0.65,0.2,0.15,0.24,0.41,1.8964496593894826,0.09,4,0,nan
357,0.9991258978843689,100,0.7,0.25,0.05,0.21,0.49,1.6932012551866837,0.08,4,0,nan
359,0.9640564918518066,100,0.7,0.12,0.18,0.47,0.23,1.8119981792469673,0.03,4,0,nan
360,0.9884839057922363,100,0.83,0.07,0.1,0.34,0.49,1.6342033461003889,0.19,5,1,nan
369,0.990402340888977,100,0.57,0.27,0.16,0.3,0.27,1.9641497599238964,0.05,3,0,nan
374,0.9958633780479431,100,0.62,0.15,0.23,0.3,0.32,1.9453361718577784,0.05,3,0,nan
375,0.9554799795150757,100,0.71,0.13,0.16,0.5,0.21,1.7784842727454808,0.05,4,0,nan
378,0.9756820201873779,100,0.63,0.23,0.14,0.3,0.33,1.9336900127227021,0.12,4,0,nan
387,0.9989184141159058,100,0.74,0.14,0.12,0.47,0.27,1.7861546147274956,0.14,5,1,nan
396,0.9811277389526367,100,0.71,0.08,0.21,0.56,0.15,1.643317185297649,0.04,4,0,nan
405,0.9985774755477905,100,0.63,0.18,0.19,0.39,0.24,1.9244655964314727,0.06,5,1,nan
413,0.9927799105644226,100,0.62,0.25,0.13,0.29,0.33,1.928370430997416,0.06,6,1,nan
418,0.9913240671157837,100,0.59,0.26,0.15,0.13,0.46,1.813812610572195,0.02,4,0,nan
427,0.9996249675750732,100,0.71,0.18,0.11,0.25,0.46,1.8109296642350987,0.11,4,0,nan
432,0.9678518772125244,100,0.71,0.17,0.12,0.39,0.32,1.8574851413193514,0.09,5,2,nan
442,0.999462902545929,100,0.82,0.05,0.13,0.57,0.25,1.5609912661544307,0.1,5,1,nan
451,0.9628422260284424,100,0.51,0.14,0.35,0.37,0.14,1.8550500103851462,0.03,4,0,nan
452,0.9982635378837585,100,0.75,0.14,0.11,0.51,0.24,1.7369610980580172,0.14,5,2,nan
457,0.9957062602043152,100,0.68,0.19,0.13,0.25,0.43,1.8614349068965184,0.05,4,0,nan
459,0.9969516396522522,100,0.72,0.13,0.15,0.29,0.43,1.8346571039662067,0.09,3,0,nan
462,0.9997765421867371,100,0.66,0.27,0.07,0.25,0.41,1.8059613503094605,0.06,4,0,nan
464,0.990132749080658,100,0.73,0.15,0.12,0.32,0.41,1.8310307784534938,0.08,6,1,nan
467,0.9757922291755676,100,0.74,0.17,0.09,0.38,0.36,1.8083088010045638,0.13,8,1,nan
471,0.9988164901733398,100,0.59,0.16,0.25,0.26,0.33,1.95612775622607,0.08,3,0,nan
473,0.9733889698982239,100,0.62,0.23,0.15,0.33,0.29,1.9439388025650484,0.07,3,0,nan
475,0.9811014533042908,100,0.66,0.1,0.24,0.41,0.25,1.8537120107758156,0.07,5,1,nan
476,0.995232343673706,100,0.62,0.2,0.18,0.29,0.33,1.9554195225623503,0.08,4,0,nan
477,0.9987772703170776,100,0.67,0.14,0.19,0.14,0.53,1.7348927431258188,0.03,5,1,nan
478,0.9793946743011475,100,0.77,0.12,0.11,0.45,0.32,1.7617893182897295,0.15,4,0,nan
483,0.9919669032096863,100,0.69,0.13,0.18,0.38,0.31,1.8821992148282725,0.12,4,0,nan
484,0.9819155931472778,100,0.65,0.17,0.18,0.42,0.23,1.8932084390423587,0.09,4,0,nan
489,0.9950081706047058,100,0.74,0.13,0.13,0.44,0.3,1.8075247721750745,0.1,5,1,nan
495,0.9776520133018494,100,0.69,0.13,0.18,0.46,0.23,1.8309547764774277,0.1,4,0,nan
498,0.9974688291549683,100,0.61,0.24,0.15,0.34,0.27,1.9438746086511176,0.04,3,0,nan
502,0.9976868033409119,100,0.7,0.17,0.13,0.13,0.57,1.6621258719715803,0.04,4,0,nan
505,0.9869969487190247,100,0.62,0.2,0.18,0.21,0.41,1.909901089860682,0.09,5,2,nan
508,0.9977018237113953,100,0.63,0.13,0.24,0.36,0.27,1.9174154001399362,0.08,5,1,nan
509,0.9885997772216797,100,0.82,0.08,0.1,0.48,0.34,1.6611440139147182,0.15,6,1,nan
510,0.9984177947044373,100,0.67,0.15,0.18,0.32,0.35,1.9119870442430926,0.09,4,0,nan
511,0.9556258916854858,100,0.74,0.15,0.11,0.33,0.41,1.8160387411016403,0.04,4,0,nan
526,0.9666656255722046,100,0.64,0.22,0.14,0.33,0.31,1.9293006289782335,0.08,4,0,nan
528,0.9985948204994202,100,0.61,0.11,0.28,0.31,0.3,1.909391298646006,0.05,4,0,nan
531,0.9904075860977173,100,0.63,0.27,0.1,0.16,0.47,1.7771869944133627,0.05,5,1,nan
539,0.9956514835357666,100,0.68,0.17,0.15,0.44,0.24,1.860413005047401,0.09,4,0,nan
541,0.9980161786079407,100,0.63,0.18,0.19,0.26,0.37,1.9365513899614317,0.06,5,1,nan
544,0.9745156764984131,100,0.77,0.1,0.13,0.57,0.2,1.6414732898762714,0.09,5,3,nan
547,0.9912455677986145,100,0.71,0.14,0.15,0.24,0.47,1.8137451508838152,0.05,5,1,nan
549,0.9917930364608765,100,0.7,0.21,0.09,0.2,0.5,1.749862566996542,0.09,4,0,nan
552,0.9911813139915466,100,0.64,0.19,0.17,0.22,0.42,1.896033005540601,0.04,4,0,nan
555,0.9968231320381165,100,0.75,0.06,0.19,0.4,0.35,1.7576319182914908,0.17,5,1,nan
557,0.9744966626167297,100,0.7,0.14,0.16,0.34,0.36,1.8799161341423125,0.13,4,0,nan
560,0.9962688088417053,100,0.7,0.14,0.16,0.21,0.49,1.7972320182866686,0.06,4,0,nan
570,0.9991439580917358,100,0.64,0.16,0.2,0.19,0.45,1.8610304498946175,0.1,5,1,nan
573,0.9994893670082092,100,0.71,0.17,0.12,0.23,0.48,1.7975907564363605,0.13,7,1,nan
574,0.9967859983444214,100,0.58,0.25,0.17,0.32,0.26,1.9659091326018017,0.05,4,0,nan
581,0.9525201320648193,100,0.67,0.21,0.12,0.26,0.41,1.872563382294548,0.05,4,0,nan
585,0.9792347550392151,100,0.66,0.2,0.14,0.41,0.25,1.8888805123720922,0.06,4,0,nan
589,0.9981327652931213,100,0.57,0.2,0.23,0.21,0.36,1.9554916616013673,0.05,5,1,nan
613,0.9928618669509888,100,0.68,0.16,0.16,0.24,0.44,1.8613152774012365,0.06,4,0,nan
617,0.9515766501426697,100,0.6,0.13,0.27,0.24,0.36,1.9174154001399364,0.09,4,0,nan
620,0.9770947694778442,100,0.6,0.17,0.23,0.32,0.28,1.962508878692925,0.04,5,2,nan
622,0.9933862090110779,100,0.67,0.19,0.14,0.41,0.26,1.8850096245222805,0.06,5,1,nan
627,0.998112678527832,100,0.79,0.09,0.12,0.25,0.54,1.6597641409464234,0.11,4,0,nan
628,0.9961346387863159,100,0.63,0.15,0.22,0.28,0.35,1.9354392102263742,0.05,7,1,nan
632,0.9970387816429138,100,0.67,0.09,0.24,0.48,0.19,1.770283711571403,0.09,4,0,nan
635,0.9951884150505066,100,0.64,0.13,0.23,0.4,0.24,1.8932175383952474,0.09,4,0,nan
645,0.9925075173377991,100,0.64,0.18,0.18,0.44,0.2,1.8761476580776089,0.06,5,2,nan
660,0.9615321159362793,100,0.67,0.17,0.16,0.47,0.2,1.833945127496205,0.07,5,1,nan
668,0.9836875796318054,100,0.64,0.19,0.17,0.39,0.25,1.9196103664079276,0.1,4,0,nan
674,0.9981421232223511,100,0.79,0.08,0.13,0.25,0.54,1.6541957278044284,0.1,6,3,nan
676,0.9922581911087036,100,0.75,0.11,0.14,0.58,0.17,1.637791362450008,0.07,5,2,nan
678,0.9978293776512146,100,0.81,0.14,0.05,0.37,0.44,1.6650824384591698,0.17,6,1,nan
684,0.9978654384613037,100,0.78,0.1,0.12,0.39,0.39,1.7588541494868961,0.08,5,1,nan
687,0.9967266321182251,100,0.67,0.08,0.25,0.49,0.18,1.7410978184549752,0.06,4,0,nan
691,0.9772265553474426,100,0.56,0.32,0.12,0.22,0.34,1.9028483675628651,0.03,5,1,nan
692,0.9902338981628418,100,0.82,0.08,0.1,0.27,0.55,1.6080959122632892,0.17,5,1,nan
696,0.9917405247688293,100,0.75,0.12,0.13,0.41,0.34,1.8062698384113143,0.11,5,2,nan
697,0.9960911273956299,100,0.77,0.06,0.17,0.38,0.39,1.7383704362540584,0.13,5,2,nan
708,0.9917455911636353,100,0.6,0.31,0.09,0.23,0.37,1.854845088249161,0.06,3,0,nan
709,0.9796863794326782,100,0.69,0.21,0.1,0.21,0.48,1.786108062372754,0.1,5,1,nan
710,0.9973002672195435,100,0.6,0.27,0.13,0.19,0.41,1.8752768513845508,0.05,4,0,nan
717,0.9932363033294678,100,0.85,0.09,0.06,0.51,0.34,1.580790899171069,0.19,5,1,nan
725,0.9813510179519653,100,0.5,0.26,0.24,0.28,0.22,1.9942165286086286,0.03,3,0,nan
726,0.9759382009506226,100,0.58,0.24,0.18,0.14,0.44,1.8576990880535558,0.02,4,0,nan
730,0.9634426236152649,100,0.73,0.19,0.08,0.28,0.45,1.7793566906959608,0.14,5,1,nan
732,0.9804932475090027,100,0.78,0.11,0.11,0.43,0.35,1.754238333221879,0.08,7,1,nan
734,0.9964608550071716,100,0.65,0.19,0.16,0.35,0.3,1.9294337276071496,0.09,4,0,nan
740,0.9735664129257202,100,0.62,0.24,0.14,0.18,0.44,1.8576990880535558,0.03,4,0,nan
741,0.9976146817207336,100,0.63,0.21,0.16,0.29,0.34,1.9429176763790736,0.09,4,0,nan
742,0.9931455254554749,100,0.68,0.14,0.18,0.49,0.19,1.8019259492563107,0.05,4,0,nan
743,0.9885460138320923,100,0.71,0.16,0.13,0.39,0.32,1.8614921610601058,0.09,5,1,nan
746,0.9872164130210876,100,0.82,0.09,0.09,0.39,0.43,1.6786689796369294,0.12,4,0,nan
747,0.9997373819351196,100,0.76,0.11,0.13,0.52,0.24,1.7176418947598346,0.07,5,1,nan
750,0.972832977771759,100,0.76,0.09,0.15,0.46,0.3,1.7596236718348575,0.13,4,0,nan
751,0.9864839911460876,100,0.63,0.23,0.14,0.26,0.37,1.920795178794152,0.09,4,0,nan
752,0.9976913928985596,100,0.67,0.2,0.13,0.31,0.36,1.9014395506997466,0.1,3,0,nan
760,0.9899596571922302,100,0.64,0.19,0.17,0.48,0.16,1.8210992788617308,0.04,6,1,nan
762,0.9888041615486145,100,0.53,0.18,0.29,0.27,0.26,1.978521248627292,0.02,5,1,nan
766,0.9574113488197327,100,0.8,0.08,0.12,0.47,0.33,1.6983538700114067,0.15,4,0,nan
768,0.9915136694908142,100,0.78,0.13,0.09,0.39,0.39,1.754892045574021,0.11,5,1,nan
769,0.9933000802993774,100,0.67,0.2,0.13,0.28,0.39,1.8910471639065043,0.12,3,0,nan
774,0.9954607486724854,100,0.58,0.11,0.31,0.3,0.28,1.9093912986460058,0.04,4,0,nan
776,0.9968565702438354,100,0.72,0.12,0.16,0.48,0.24,1.7924876891689534,0.14,4,0,nan
778,0.99055016040802,100,0.57,0.14,0.29,0.4,0.17,1.8783720911321615,0.04,4,0,nan
781,0.9995267391204834,100,0.69,0.18,0.13,0.38,0.31,1.8821992148282725,0.11,4,0,nan
782,0.9807641506195068,100,0.67,0.24,0.09,0.2,0.47,1.783129560205877,0.1,6,1,nan
787,0.9879623651504517,100,0.55,0.29,0.16,0.23,0.32,1.954622451294616,0.06,3,0,nan
789,0.9955939054489136,100,0.74,0.17,0.09,0.18,0.56,1.6609890000204843,0.06,7,2,nan
791,0.9810225367546082,100,0.62,0.23,0.15,0.24,0.38,1.922799895258694,0.04,4,0,nan
800,0.9736967086791992,100,0.51,0.37,0.12,0.17,0.34,1.8615568953678014,0.01,5,1,nan
803,0.9979109764099121,100,0.65,0.2,0.15,0.28,0.37,1.9198798579971337,0.09,3,0,nan
808,0.9775974750518799,100,0.79,0.08,0.13,0.52,0.27,1.6747507473988783,0.11,6,2,nan
812,0.9932511448860168,100,0.68,0.14,0.18,0.43,0.25,1.8659821084614605,0.08,5,1,nan
813,0.9876634478569031,100,0.66,0.17,0.17,0.35,0.31,1.9230689115989397,0.13,3,0,nan
814,0.9974160194396973,100,0.72,0.17,0.11,0.53,0.19,1.7255459602392875,0.06,5,2,nan
816,0.9543938040733337,100,0.58,0.21,0.21,0.24,0.34,1.9689545060094527,0.04,4,0,nan
819,0.99160236120224,100,0.67,0.12,0.21,0.35,0.32,1.896024974973908,0.14,4,0,nan
823,0.9889081120491028,100,0.62,0.19,0.19,0.41,0.21,1.9106607539892082,0.04,4,0,nan
834,0.96021968126297,100,0.78,0.1,0.12,0.26,0.52,1.6951249000493978,0.15,6,3,nan
840,0.9934711456298828,100,0.64,0.13,0.23,0.37,0.27,1.9110624056564218,0.07,4,0,nan
844,0.9626065492630005,100,0.69,0.13,0.18,0.31,0.38,1.8821992148282727,0.1,4,0,nan
847,0.9980978965759277,100,0.63,0.21,0.16,0.33,0.3,1.9447522929203398,0.06,8,2,nan
848,0.9602106213569641,100,0.57,0.17,0.26,0.37,0.2,1.9349898157852992,0.07,3,0,nan
849,0.9991790652275085,100,0.81,0.12,0.07,0.58,0.23,1.579097618077049,0.1,5,1,nan
852,0.9899236559867859,100,0.74,0.1,0.16,0.45,0.29,1.791514998350639,0.14,5,2,nan
854,0.9913934469223022,100,0.61,0.06,0.33,0.49,0.12,1.642705056640175,0.01,5,1,nan
855,0.9943119287490845,100,0.66,0.16,0.18,0.37,0.29,1.9169574556454012,0.11,5,2,nan
861,0.9959208965301514,100,0.69,0.17,0.14,0.34,0.35,1.8909713957182492,0.12,4,0,nan
862,0.9992482662200928,100,0.68,0.05,0.27,0.53,0.15,1.6221087291864467,0.05,4,0,nan
863,0.9990803599357605,100,0.69,0.2,0.11,0.23,0.46,1.8176753430678108,0.13,4,0,nan
866,0.9899762868881226,100,0.74,0.14,0.12,0.28,0.46,1.7937331226377664,0.11,4,0,nan
869,0.9993143677711487,100,0.71,0.13,0.16,0.53,0.18,1.736414685238271,0.08,5,1,nan
871,0.9781812429428101,100,0.65,0.18,0.17,0.39,0.26,1.91497981442959,0.1,4,0,nan
873,0.9838516712188721,100,0.63,0.19,0.18,0.26,0.37,1.9365513899614317,0.09,4,0,nan
875,0.9587628841400146,100,0.7,0.16,0.14,0.39,0.31,1.873718779110452,0.02,4,0,nan
876,0.9627653956413269,100,0.76,0.11,0.13,0.39,0.37,1.7934569377272918,0.1,5,1,nan
879,0.9997307062149048,100,0.63,0.12,0.25,0.5,0.13,1.7497113839988006,0.05,4,0,nan
885,0.9990131258964539,100,0.62,0.16,0.22,0.32,0.3,1.950714054991964,0.07,3,0,nan
886,0.9985558390617371,100,0.69,0.19,0.12,0.42,0.27,1.857961518982689,0.07,5,1,nan
887,0.9977605938911438,100,0.63,0.12,0.25,0.4,0.23,1.8835061543964469,0.03,5,2,nan
891,0.998907744884491,100,0.57,0.24,0.19,0.19,0.38,1.9350402793845223,0.06,5,1,nan
896,0.9567229747772217,100,0.82,0.09,0.09,0.4,0.42,1.679725133993084,0.16,5,1,nan
899,0.999090850353241,100,0.7,0.17,0.13,0.19,0.51,1.767887191444081,0.05,5,2,nan
906,0.9994418621063232,100,0.65,0.14,0.21,0.39,0.26,1.9050186498301598,0.06,4,0,nan
908,0.999701976776123,100,0.65,0.2,0.15,0.37,0.28,1.919879857997134,0.14,4,0,nan
911,0.9584152698516846,100,0.64,0.19,0.17,0.35,0.29,1.9378177346901515,0.09,5,1,nan
915,0.9849560856819153,100,0.66,0.21,0.13,0.3,0.36,1.9071721884310553,0.06,4,0,nan
916,0.9964330792427063,100,0.75,0.13,0.12,0.21,0.54,1.702577616378031,0.11,6,1,nan
920,0.9834005832672119,100,0.52,0.3,0.18,0.23,0.29,1.971968772352444,0.05,3,0,nan
921,0.9583005309104919,100,0.62,0.24,0.14,0.19,0.43,1.8700354284373994,0.06,4,0,nan
924,0.9978616237640381,100,0.66,0.17,0.17,0.23,0.43,1.8804057293345942,0.09,4,0,nan
927,0.9953744411468506,100,0.74,0.15,0.11,0.57,0.17,1.6576691312968839,0.04,5,1,nan
929,0.999801516532898,100,0.63,0.2,0.17,0.34,0.29,1.9460500331725832,0.07,3,0,nan
932,0.9702849984169006,100,0.66,0.19,0.15,0.3,0.36,1.9174761936773779,0.1,3,0,nan
941,0.9781022071838379,100,0.68,0.16,0.16,0.43,0.25,1.8695982978091414,0.09,4,0,nan
942,0.9922575950622559,100,0.71,0.15,0.14,0.16,0.55,1.7050450689068195,0.03,6,1,nan
944,0.9866835474967957,100,0.67,0.23,0.1,0.27,0.4,1.858653266853794,0.06,4,0,nan
945,0.996320903301239,100,0.82,0.12,0.06,0.4,0.42,1.6650183841228925,0.19,5,1,nan
946,0.999905526638031,100,0.73,0.16,0.11,0.32,0.41,1.8267223898312075,0.14,5,1,nan
947,0.9986681938171387,100,0.76,0.05,0.19,0.46,0.3,1.707747879007294,0.09,5,3,nan
950,0.994147539138794,100,0.55,0.14,0.31,0.37,0.18,1.896941398924401,0.04,5,1,nan
955,0.9956376552581787,100,0.68,0.17,0.15,0.29,0.39,1.8928325634776164,0.12,3,0,nan
957,0.9980795383453369,100,0.72,0.11,0.17,0.31,0.41,1.8360528505987186,0.12,4,0,nan
965,0.9810239672660828,100,0.7,0.14,0.16,0.19,0.51,1.7707833487269162,0.05,5,1,nan
966,0.992523193359375,100,0.65,0.2,0.15,0.34,0.31,1.9278987592109278,0.07,4,0,nan
967,0.9980514049530029,100,0.68,0.28,0.04,0.22,0.46,1.6958833557121642,0.05,5,1,nan
971,0.9994714856147766,100,0.73,0.11,0.16,0.48,0.25,1.781572663934786,0.08,4,0,nan
975,0.9992470741271973,100,0.69,0.15,0.16,0.39,0.3,1.8844485563946147,0.13,3,0,nan
985,0.9988391995429993,100,0.59,0.22,0.19,0.25,0.34,1.9649735926514416,0.04,4,0,nan
986,0.9897546172142029,100,0.49,0.16,0.35,0.0,0.49,1.4573993102275344,0.0,3,0,nan
987,0.9935368299484253,100,0.69,0.14,0.17,0.53,0.16,1.740159976755607,0.04,5,1,nan
992,0.9817602634429932,100,0.59,0.19,0.22,0.3,0.29,1.9747933388506864,0.04,4,0,nan
999,0.970901370048523,100,0.62,0.14,0.24,0.43,0.19,1.8700354284373994,0.06,4,0,nan
1002,0.9691176414489746,100,0.51,0.34,0.15,0.22,0.29,1.9381957897211302,0.03,7,1,nan
1003,0.9936284422874451,100,0.77,0.1,0.13,0.21,0.56,1.6561008017918486,0.1,6,2,nan
1006,0.9995074272155762,100,0.74,0.18,0.08,0.15,0.59,1.5964767010503442,0.06,4,0,nan
1013,0.993229866027832,100,0.64,0.2,0.16,0.18,0.46,1.84804557075141,0.06,4,0,nan
1019,0.9905654191970825,100,0.62,0.18,0.2,0.3,0.32,1.9568168918550803,0.06,3,0,nan
