idx,score,length,gc,frac_a,frac_t,frac_c,frac_g,entropy_bits,cpg_density,longest_run,runs_ge_5,mean_unpair_prob
6238,0.998695969581604,100,0.56,0.31,0.13,0.23,0.33,1.9219288609150487,0.04,5,1,nan
6240,0.9925597310066223,100,0.76,0.12,0.12,0.36,0.4,1.7935209511274697,0.11,4,0,nan
6247,0.9845699071884155,100,0.71,0.1,0.19,0.35,0.36,1.8481350962817364,0.07,4,0,nan
6249,0.9987764358520508,100,0.69,0.14,0.17,0.49,0.2,1.800364375080178,0.1,4,0,nan
6250,0.9978346228599548,100,0.58,0.13,0.29,0.27,0.31,1.934364056025319,0.09,4,0,nan
6251,0.9971573352813721,100,0.78,0.07,0.15,0.35,0.43,1.7327648554367743,0.13,5,1,nan
6254,0.9967082142829895,100,0.64,0.17,0.19,0.29,0.35,1.9378177346901517,0.05,4,0,nan
6256,0.9993501305580139,100,0.65,0.14,0.21,0.55,0.1,1.6764991899758215,0.06,4,0,nan
6257,0.9998987317085266,100,0.74,0.14,0.12,0.34,0.4,1.822122396620061,0.13,5,1,nan
6267,0.9985593557357788,100,0.62,0.14,0.24,0.35,0.27,1.931366818998708,0.09,4,0,nan
6273,0.9979161024093628,100,0.65,0.22,0.13,0.21,0.44,1.8571874993322268,0.09,4,0,nan
6279,0.98789381980896,100,0.71,0.11,0.18,0.37,0.34,1.8554971001571792,0.14,5,1,nan
6282,0.9990105628967285,100,0.74,0.09,0.17,0.5,0.24,1.741375161571919,0.12,4,0,nan
6284,0.9700250625610352,100,0.69,0.16,0.15,0.27,0.42,1.8692296572822311,0.06,4,0,nan
6286,0.9978800415992737,100,0.67,0.18,0.15,0.25,0.42,1.88149873516307,0.1,5,1,nan
6292,0.9874675869941711,100,0.65,0.12,0.23,0.26,0.39,1.889820247722112,0.08,5,1,nan
6293,0.9872651696205139,100,0.75,0.14,0.11,0.27,0.48,1.765687396706266,0.14,5,1,nan
6294,0.9944790601730347,100,0.69,0.12,0.19,0.3,0.39,1.8731804180950724,0.11,5,1,nan
6295,0.9951903223991394,100,0.68,0.21,0.11,0.28,0.4,1.8661014368100082,0.08,8,3,nan
6298,0.9659267067909241,100,0.66,0.2,0.14,0.37,0.29,1.9101286478394803,0.13,4,0,nan
6303,0.978359043598175,100,0.77,0.09,0.14,0.37,0.4,1.7692642673191958,0.12,7,1,nan
